epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,11630.3,0.96718,1.46645,0.86162,1.20417,0.76754,0.75584,0.7785,0.55229,0.65545,0.64257,0.58479,0.18621,0.86673,0.99475,1.88483,0.89272,0.0006932,0.0006932,0.0006932
68,11805,0.94969,1.4436,0.84022,1.19066,0.7888,0.73494,0.76912,0.5501,0.67328,0.63855,0.57587,0.19322,0.84104,0.97706,1.82115,0.88029,0.0006734,0.0006734,0.0006734
69,11979.4,0.94603,1.46994,0.84535,1.19172,0.75987,0.7498,0.76166,0.54526,0.66521,0.67068,0.60584,0.19946,0.8619,0.97238,2.09959,0.89543,0.0006536,0.0006536,0.0006536
70,12154.4,0.95208,1.45983,0.84706,1.18812,0.77207,0.76181,0.76282,0.55338,0.69739,0.64787,0.59598,0.19986,0.84646,0.98362,1.75002,0.89133,0.0006338,0.0006338,0.0006338
71,12329.3,0.93304,1.45454,0.83324,1.1807,0.8475,0.70281,0.77458,0.55732,0.73969,0.61446,0.59936,0.1922,0.83016,0.98935,1.76433,0.87699,0.000614,0.000614,0.000614
72,12504.1,0.94198,1.4513,0.82768,1.19024,0.87548,0.73414,0.78895,0.55411,0.75687,0.63761,0.60366,0.19645,0.83421,0.98144,1.48743,0.88202,0.0005942,0.0005942,0.0005942
73,12678.9,0.94543,1.44851,0.84756,1.19155,0.86172,0.72691,0.76953,0.55098,0.75197,0.62096,0.59849,0.20212,0.83729,0.98128,1.50568,0.87381,0.0005744,0.0005744,0.0005744
74,12853.2,0.93191,1.45105,0.82178,1.18287,0.82594,0.73092,0.77239,0.56824,0.73593,0.6506,0.62033,0.21081,0.81665,0.97475,1.96128,0.86593,0.0005546,0.0005546,0.0005546
75,13028.8,0.93017,1.4469,0.82674,1.18273,0.78544,0.7351,0.77113,0.56673,0.72024,0.62037,0.59084,0.20241,0.82374,0.97879,1.63755,0.87509,0.0005348,0.0005348,0.0005348
76,13203.6,0.93151,1.42541,0.82027,1.18288,0.84297,0.71143,0.78145,0.57389,0.75148,0.61847,0.60318,0.20237,0.81143,0.97998,1.59157,0.87009,0.000515,0.000515,0.000515
77,13378,0.93495,1.44573,0.81972,1.18801,0.85913,0.70683,0.77868,0.57756,0.73346,0.62249,0.60678,0.20335,0.82541,0.98408,1.93572,0.88101,0.0004952,0.0004952,0.0004952
78,13552.9,0.9157,1.45034,0.80525,1.1735,0.83489,0.72691,0.78633,0.57681,0.73324,0.63855,0.61762,0.20754,0.83259,0.98034,1.48716,0.87791,0.0004754,0.0004754,0.0004754
79,13728,0.92626,1.42315,0.80481,1.18534,0.87981,0.71084,0.79607,0.584,0.77126,0.60938,0.61072,0.20582,0.82797,0.98699,1.56761,0.88484,0.0004556,0.0004556,0.0004556
80,13902.8,0.91342,1.4231,0.79796,1.16947,0.77366,0.76874,0.78,0.56788,0.72798,0.61446,0.59112,0.20459,0.82745,0.98724,1.75056,0.87678,0.0004358,0.0004358,0.0004358
81,14077.2,0.90826,1.44457,0.80865,1.16394,0.7791,0.74699,0.78552,0.57596,0.66475,0.66265,0.60495,0.20631,0.80514,0.97805,1.49808,0.8635,0.000416,0.000416,0.000416
82,14252,0.92649,1.44249,0.81896,1.1819,0.78658,0.76707,0.78977,0.57671,0.6915,0.6747,0.62305,0.21288,0.81267,0.97712,1.47739,0.85903,0.0003962,0.0003962,0.0003962
83,14426.6,0.89801,1.42209,0.79017,1.16506,0.80517,0.74699,0.7755,0.57575,0.71691,0.64074,0.60932,0.20213,0.81935,0.98201,1.61841,0.86275,0.0003764,0.0003764,0.0003764
84,14601.2,0.90193,1.43519,0.79856,1.16593,0.80498,0.77912,0.79689,0.59396,0.73698,0.6506,0.62427,0.21296,0.80706,0.97578,1.60136,0.86277,0.0003566,0.0003566,0.0003566
85,14776.3,0.89221,1.41735,0.78605,1.16528,0.81431,0.76707,0.79224,0.59172,0.7438,0.6747,0.64568,0.21768,0.79565,0.97775,1.60152,0.86545,0.0003368,0.0003368,0.0003368
86,14951.1,0.89811,1.4323,0.77972,1.16272,0.80029,0.75641,0.79809,0.59282,0.70235,0.66335,0.62582,0.21086,0.79826,0.97355,1.59487,0.86399,0.000317,0.000317,0.000317
87,15125.1,0.88715,1.41313,0.7744,1.16205,0.81462,0.76305,0.78228,0.57562,0.7184,0.66595,0.61562,0.20473,0.81312,0.9933,1.49285,0.87035,0.0002972,0.0002972,0.0002972
88,15299.5,0.89744,1.42239,0.80072,1.16905,0.81853,0.73896,0.77482,0.57822,0.72619,0.65462,0.62052,0.20681,0.79987,0.97884,1.49066,0.8658,0.0002774,0.0002774,0.0002774
89,15473.6,0.89352,1.43293,0.78239,1.16583,0.78594,0.75502,0.77628,0.58279,0.6941,0.66524,0.61715,0.21074,0.79624,0.98408,1.46756,0.86253,0.0002576,0.0002576,0.0002576
90,15647.6,0.89007,1.40355,0.7838,1.16427,0.80312,0.76707,0.78852,0.58788,0.72781,0.66667,0.63217,0.21855,0.79177,0.97982,1.50434,0.85981,0.0002378,0.0002378,0.0002378
91,15807.2,0.79692,1.06877,0.81309,1.19854,0.81712,0.75904,0.7931,0.59524,0.72472,0.64496,0.62474,0.22008,0.78177,0.97891,1.58753,0.86268,0.000218,0.000218,0.000218
92,15964.4,0.77517,1.05191,0.77755,1.18409,0.80979,0.75502,0.79276,0.59523,0.7505,0.64257,0.63203,0.21022,0.78838,0.9863,1.48596,0.86633,0.0001982,0.0001982,0.0001982
93,16121.3,0.7648,1.06556,0.75934,1.18003,0.82496,0.76305,0.79425,0.59485,0.72162,0.66627,0.62862,0.21446,0.79633,0.98857,1.38314,0.87119,0.0001784,0.0001784,0.0001784
94,16278.4,0.77094,1.06006,0.76792,1.18223,0.80623,0.78538,0.80124,0.59278,0.72316,0.67141,0.63382,0.21732,0.78792,0.99264,1.39946,0.85987,0.0001586,0.0001586,0.0001586
95,16435.4,0.76731,1.06038,0.75015,1.17888,0.85794,0.75502,0.79845,0.61036,0.76628,0.6452,0.61621,0.21845,0.76658,0.98733,1.3466,0.84957,0.0001388,0.0001388,0.0001388
96,16592.6,0.75398,1.05095,0.74767,1.17361,0.83941,0.76707,0.7962,0.6006,0.74275,0.67255,0.63107,0.22315,0.77354,0.98717,1.42915,0.85262,0.000119,0.000119,0.000119
97,16749.9,0.74857,1.0543,0.74514,1.16953,0.84343,0.75502,0.80066,0.59894,0.76277,0.67068,0.63962,0.22261,0.77298,0.98853,1.36003,0.85355,9.92e-05,9.92e-05,9.92e-05
98,16909.1,0.74521,1.04842,0.74755,1.1731,0.84771,0.76707,0.80109,0.60023,0.76374,0.66667,0.64408,0.22088,0.77095,0.99126,1.33284,0.85274,7.94e-05,7.94e-05,7.94e-05
99,17068.8,0.73667,1.0496,0.73842,1.16063,0.84112,0.76707,0.80784,0.60539,0.7469,0.6747,0.65287,0.22085,0.77171,0.99423,1.33378,0.85287,5.96e-05,5.96e-05,5.96e-05
100,17228.2,0.72786,1.04973,0.72387,1.1582,0.83176,0.77108,0.81016,0.60905,0.74623,0.67068,0.64548,0.22089,0.76461,0.9933,1.39345,0.85273,3.98e-05,3.98e-05,3.98e-05
