epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5780.5,0.82759,1.39661,0.71193,1.04386,0.8698,0.74297,0.79458,0.6127,0.75635,0.64659,0.64156,0.21971,0.7456,0.96161,0.83544,0.8196,0.0006734,0.0006734,0.0006734
69,5865.35,0.81564,1.37028,0.70118,1.03926,0.84853,0.71996,0.7765,0.57968,0.7516,0.62651,0.63175,0.22392,0.78754,0.95775,0.86768,0.84107,0.0006536,0.0006536,0.0006536
70,5949.97,0.81248,1.36937,0.70419,1.03414,0.85011,0.72289,0.78733,0.61097,0.72516,0.62518,0.63429,0.22518,0.75012,0.96654,0.86871,0.82293,0.0006338,0.0006338,0.0006338
71,6034.84,0.8155,1.38376,0.70854,1.03872,0.84877,0.7213,0.79862,0.61209,0.76351,0.62238,0.65097,0.22321,0.75495,0.97446,0.84154,0.813,0.000614,0.000614,0.000614
72,6119.87,0.81126,1.35675,0.69721,1.03796,0.88024,0.74699,0.81047,0.61384,0.7694,0.6506,0.64896,0.22623,0.76431,0.96641,0.79111,0.83112,0.0005942,0.0005942,0.0005942
73,6204.8,0.80431,1.36992,0.69794,1.03964,0.87174,0.72691,0.81485,0.62303,0.77133,0.64659,0.67683,0.23591,0.75099,0.95738,0.74784,0.80651,0.0005744,0.0005744,0.0005744
74,6289.74,0.80734,1.36371,0.7051,1.03793,0.82054,0.75287,0.78783,0.60718,0.75051,0.68862,0.67341,0.24028,0.7257,0.96107,0.86596,0.79602,0.0005546,0.0005546,0.0005546
75,6374.63,0.80148,1.37756,0.69238,1.03766,0.85867,0.76305,0.79005,0.60652,0.76012,0.69076,0.67621,0.22792,0.74113,0.95842,0.79871,0.8102,0.0005348,0.0005348,0.0005348
76,6459.55,0.7957,1.36425,0.68599,1.03179,0.80995,0.71486,0.77186,0.58645,0.75066,0.63855,0.65892,0.22671,0.75665,0.96008,0.8186,0.81005,0.000515,0.000515,0.000515
77,6544.28,0.80311,1.38796,0.68522,1.02996,0.84776,0.71567,0.78921,0.61945,0.77202,0.65279,0.67,0.22683,0.71818,0.97352,0.77138,0.78322,0.0004952,0.0004952,0.0004952
78,6628.83,0.79053,1.36151,0.67859,1.02962,0.82599,0.7435,0.78824,0.59698,0.72716,0.66265,0.65381,0.2201,0.76183,0.97297,0.87581,0.82534,0.0004754,0.0004754,0.0004754
79,6713.11,0.78236,1.36646,0.66018,1.02237,0.82028,0.73494,0.79101,0.60005,0.73079,0.65412,0.65458,0.22398,0.74977,0.97383,0.79793,0.80113,0.0004556,0.0004556,0.0004556
80,6798.58,0.79369,1.36396,0.67475,1.02856,0.85315,0.69997,0.79249,0.61435,0.75705,0.61321,0.659,0.22566,0.73423,0.97349,0.78361,0.80292,0.0004358,0.0004358,0.0004358
81,6883.29,0.78907,1.34084,0.67467,1.02941,0.82744,0.71084,0.78937,0.61615,0.73002,0.62985,0.64898,0.22736,0.73667,0.96956,0.77709,0.80589,0.000416,0.000416,0.000416
